vault,date,apy24h,volume24hUsd,feesAndRewards24hUsd,cumulativeFeesAndRewardsUsd,stakingYieldA,stakingYieldB
orca,2025-02-21T22:00:00.000Z,0.017312950879471381826013362962695355258,17685712.73635534,1600.5570026401,795584.46876116387574191594823484111128,,
orca,2025-02-21T23:00:00.000Z,0.017706839350565035615481457178260703425,18058424.414970297,1634.2874095547,795584.46876116387574191594823484111128,,
orca,2025-02-22T00:00:00.000Z,0.018812923377503246266758221239578134692,19132635.747703128,1731.5035351672,795657.70843181479494161997445579689078,,
orca,2025-02-22T01:00:00.000Z,0.018812923377503246266758221239578134692,19132635.747703128,1731.5035351672,795764.07537642825037060122408125829588,,
orca,2025-02-22T02:00:00.000Z,0.020062654538593427925829805698481394587,20334468.508670904,1840.2694000347,795950.03363845291902903596660498510156,,
orca,2025-02-22T03:00:00.000Z,0.020062654538593427925829805698481394587,20334468.508670904,1840.2694000347,795950.03363845291902903596660498510156,,
orca,2025-02-22T04:00:00.000Z,0.020062654538593427925829805698481394587,20334468.508670904,1840.2694000347,795950.03363845291902903596660498510156,,
orca,2025-02-22T05:00:00.000Z,0.020062654538593427925829805698481394587,20334468.508670904,1840.2694000347,795950.03363845291902903596660498510156,,
orca,2025-02-22T06:00:00.000Z,0.020062654538593427925829805698481394587,20334468.508670904,1840.2694000347,795950.03363845291902903596660498510156,,
orca,2025-02-22T07:00:00.000Z,0.019906064925257772382184850689861826811,20157878.95217891,1824.2880451722,796046.71419751916455311636847401714595,,
orca,2025-02-22T08:00:00.000Z,0.019906064925257772382184850689861826811,20157878.95217891,1824.2880451722,796046.71419751916455311636847401714595,,
orca,2025-02-22T09:00:00.000Z,0.019906064925257772382184850689861826811,20157878.95217891,1824.2880451722,796046.71419751916455311636847401714595,,
orca,2025-02-22T10:00:00.000Z,0.018783854069211198215635510116910425259,18989516.277360175,1718.551223101,796301.92615722714556114275577706091591,,
orca,2025-02-22T11:00:00.000Z,0.019110244339044498161830152862178877438,19309387.636860307,1747.4995811358,796301.92615722714556114275577706091591,,
orca,2025-02-22T12:00:00.000Z,0.019110244339044498161830152862178877438,19309387.636860307,1747.4995811358,796359.26046727481108867368730404757235,,
orca,2025-02-22T13:00:00.000Z,0.019110244339044498161830152862178877438,19309387.636860307,1747.4995811358,796359.26046727481108867368730404757235,,
orca,2025-02-22T14:00:00.000Z,0.018507839071377840433980184849663937599,18689681.083650593,1691.4161380705,796388.83993605143227200285825317162267,,
orca,2025-02-22T15:00:00.000Z,0.01816599550492755138951349849651806218,18322512.204657372,1658.1873545214,796388.83993605143227200285825317162267,,
orca,2025-02-22T16:00:00.000Z,0.01816599550492755138951349849651806218,18322512.204657372,1658.1873545214,796463.48369257959508700316168794421742,,
orca,2025-02-22T17:00:00.000Z,0.01816599550492755138951349849651806218,18322512.204657372,1658.1873545214,796463.48369257959508700316168794421742,,
orca,2025-02-22T18:00:00.000Z,0.017342961432092788305488599001216887151,17442257.537652906,1578.5243071576,796526.0890166453773996098933574148531,,
orca,2025-02-22T19:00:00.000Z,0.017928816620097353328904086556333887021,18044272.299954005,1633.0066431459,796526.0890166453773996098933574148531,,
orca,2025-02-22T20:00:00.000Z,0.014363951889592989349785113316774247196,14441578.979401855,1306.9628976358,796739.37506125847640536538032753227674,,
orca,2025-02-22T21:00:00.000Z,0.014363951889592989349785113316774247196,14441578.979401855,1306.9628976358,796748.63345673412740430545095827244022,,
orca,2025-02-22T23:00:00.000Z,0.013853756144762644927788410205742230473,13931446.585984081,1260.7959160315,796748.63345673412740430545095827244022,,
orca,2025-02-23T00:00:00.000Z,0.013853756144762644927788410205742230473,13931446.585984081,1260.7959160315,796748.63345673412740430545095827244022,,
