oracle_price,bid_impact_price,ask_impact_price,funding_rate,next_funding_rate,created_at
77.29919,77.231666,77.25,0.00000807,0.00000081,1771948804111
78.1583,78.1,78.11,0.00000081,0.0000116,1771952404111
77.924489,77.870034,77.9,0.0000116,0.000015,1771956004111
78.206739,78.16,78.17,0.000015,0.000015,1771959604111
78.389968,78.35,78.378454,0.000015,0.000015,1771963204111
78.662798,78.621333,78.64,0.000015,0.000015,1771966804112
78.540193,78.51,78.52,0.000015,0.000015,1771970404112
79.06436,78.990435,79.02,0.000015,0.000015,1771974004112
79.004791,78.97,78.98,0.000015,0.00000717,1771977604111
79.199378,79.17,79.18,0.00000717,0.00000063,1771981204111
82.073948,82.09,82.107698,0.00000063,0.000015,1771984804111
82.510635,82.5,82.51,0.000015,0.000015,1771988404111
81.769748,81.65,81.669457,0.000015,0.000015,1771992004111
81.957343,81.94,81.95,0.000015,0.000015,1771995604111
81.305567,81.26,81.27,0.000015,0.000015,1771999204111
81.573489,81.57,81.609332,0.000015,0.000015,1772002804111
82.187634,82.150501,82.17,0.000015,0.00001386,1772006404111
82.487142,82.43,82.449469,0.00001386,0.000015,1772010004111
82.540231,82.53,82.54,0.000015,0.000015,1772013604111
82.538514,82.51,82.52,0.000015,0.000015,1772017204111
83.355818,83.27,83.28,0.000015,0.000015,1772020804111
83.684344,83.71,83.72,0.000015,0.000015,1772024404111
83.84507,83.82,83.839367,0.000015,0.00001484,1772028004112
85.626757,85.62,85.63,0.00001484,0.000015,1772031604111
85.992969,85.98,85.99,0.000015,0.000015,1772035204111
87.542723,87.48,87.49,0.000015,0.000015,1772038804111
88.562669,88.56,88.57,0.000015,0.000015,1772042404111
88.957471,88.89,88.915758,0.000015,0.000015,1772046004111
89.436483,89.444227,89.47,0.000015,0.000015,1772049604111
89.389602,89.42,89.44678,0.000015,0.000015,1772053204111
89.860668,89.9,89.919441,0.000015,0.000015,1772056804111
89.085583,89.02,89.03,0.000015,0.000015,1772060404111
88.041947,87.96,87.97,0.000015,0.000015,1772064004111
88.617077,88.55,88.56,0.000015,0.000015,1772067604111
88.422948,88.382105,88.4,0.000015,0.000015,1772071204111
88.205058,88.18,88.19,0.000015,0.000015,1772074804111
87.948052,87.850548,87.87,0.000015,0.000015,1772078404111
88.733742,88.640872,88.68,0.000015,0.000015,1772082004111
87.764785,87.68,87.702042,0.000015,0.000015,1772085604111
87.647014,87.6,87.61,0.000015,0.000015,1772089204111
87.244497,87.25,87.276441,0.000015,0.000015,1772092804111
87.297711,87.202884,87.24,0.000015,0.00000696,1772096404111
88.329363,88.29,88.3,0.00000696,0.00000452,1772100004111
87.474085,87.390169,87.41,0.00000452,-0.00000594,1772103604111
86.844577,86.77,86.78,-0.00000594,-0.00001121,1772107204111
87.685654,87.62,87.63,-0.00001121,-0.00000693,1772110804111
87.625247,87.56,87.57,-0.00000693,-0.00000525,1772114404111
87.023443,86.95,86.96,-0.00000525,-0.00000729,1772118004111
86.565836,86.53,86.549575,-0.00000729,0.00000241,1772121604111
